Ubigeo,Departamento,Provincia,Distrito,Poblacion,Superficie,IDH2019,Educ_sec_comp2019_pct,NBI2017_pct,Viv_sin_serv_hig2017_pct
010202,Amazonas,Bagua,ARAMANGO,10940,"809,07","0,3611821525","37,54588507","62,90","9,1"
010201,Amazonas,Bagua,BAGUA,26091,"150,99","0,5840630338","70,79550121","25,40","0,7"
010203,Amazonas,Bagua,COPALLIN,6319,"99,05","0,4672452078","52,57136106","45,40","2,1"
010204,Amazonas,Bagua,EL PARCO,1492,"18,48","0,4890486412","70,21540937","59,90","1,5"
010205,Amazonas,Bagua,IMAZA,24323,"4430,84","0,2980892411","31,29571857","88,40","11,7"
010206,Amazonas,Bagua,LA PECA,8048,"144,29","0,4905837956","48,50599098","42,40","1,4"
010302,Amazonas,Bongara,CHISQUILLA,335,"174,96","0,4749748912","77,51764145","59,80","4,3"
010303,Amazonas,Bongara,CHURUJA,269,"33,34","0,515913557","80,4990892","36,20","21,3"
010304,Amazonas,Bongara,COROSHA,1046,"45,67","0,3958982127","41,8413345","83,80","4,7"
010305,Amazonas,Bongara,CUISPES,899,"110,72","0,2994450657","37,44143684","41,10","7,6"
010306,Amazonas,Bongara,FLORIDA,8663,"203,22","0,3593235712","38,10741198","50,90","0,9"
010307,Amazonas,Bongara,JAZAN,9349,"88,83","0,5112580949","57,66827407","25,20","12,2"
010301,Amazonas,Bongara,JUMBILLA,1764,"154,18","0,4513941932","42,20926026","22,70","2,7"
010308,Amazonas,Bongara,RECTA,201,"24,58","0,3240053347","26,83302973","64,40","36,7"
010309,Amazonas,Bongara,SAN CARLOS,310,"100,76","0,348034094","46,95780203","49,70","21,3"
010310,Amazonas,Bongara,SHIPASBAMBA,1819,"127,29","0,3650021513","49,33277516","48,30","7,5"
010311,Amazonas,Bongara,VALERA,1281,"90,14","0,4006351129","46,30012974","31,00","27,7"
010312,Amazonas,Bongara,YAMBRASBAMBA,8470,"1715,96","0,3522900529","35,14653769","67,00",2
010102,Amazonas,Chachapoyas,ASUNCION,288,"25,71","0,423031925","71,0068315","73,40",0
010103,Amazonas,Chachapoyas,BALSAS,1644,"357,09","0,3153084213","32,77238377","37,80","12,4"
