Ubigeo,Departamento,Provincia,Distrito,Poblacion,Superficie,IDH2019,Educ_sec_comp2019_pct,NBI2017_pct,Viv_sin_serv_hig2017_pct
10202,Amazonas,Bagua,ARAMANGO,10940,809.07,0.36,37.54588507,62.9,9.1
10201,Amazonas,Bagua,BAGUA,26091,150.99,0.58,70.79550121,25.4,0.7
10203,Amazonas,Bagua,COPALLIN,6319,99.05,0.47,52.57136106,45.4,2.1
10204,Amazonas,Bagua,EL PARCO,1492,18.48,0.49,70.21540937,59.9,1.5
10205,Amazonas,Bagua,IMAZA,24323,4430.84,0.30,31.29571857,88.4,11.7
10206,Amazonas,Bagua,LA PECA,8048,144.29,0.49,48.50599098,42.4,1.4
10302,Amazonas,Bongara,CHISQUILLA,335,174.96,0.47,77.51764145,59.8,4.3
10303,Amazonas,Bongara,CHURUJA,269,33.34,0.52,80.4990892,36.2,21.3
10304,Amazonas,Bongara,COROSHA,1046,45.67,0.40,41.8413345,83.8,4.7
10305,Amazonas,Bongara,CUISPES,899,110.72,0.30,37.44143684,41.1,7.6
10306,Amazonas,Bongara,FLORIDA,8663,203.22,0.36,38.10741198,50.9,0.9
10307,Amazonas,Bongara,JAZAN,9349,88.83,0.51,57.66827407,25.2,12.2
10301,Amazonas,Bongara,JUMBILLA,1764,154.18,0.45,42.20926026,22.7,2.7
10308,Amazonas,Bongara,RECTA,201,24.58,0.32,26.83302973,64.4,36.7
10309,Amazonas,Bongara,SAN CARLOS,310,100.76,0.35,46.95780203,49.7,21.3
10310,Amazonas,Bongara,SHIPASBAMBA,1819,127.29,0.37,49.33277516,48.3,7.5
10311,Amazonas,Bongara,VALERA,1281,90.14,0.40,46.30012974,31,27.7
10312,Amazonas,Bongara,YAMBRASBAMBA,8470,1715.96,0.35,35.14653769,67,2
10102,Amazonas,Chachapoyas,ASUNCION,288,25.71,0.42,71.0068315,73.4,0
10103,Amazonas,Chachapoyas,BALSAS,1644,357.09,0.32,32.77238377,37.8,12.4
10101,Amazonas,Chachapoyas,CHACHAPOYAS,29171,153.78,0.64,79.562705,12,1.4
10104,Amazonas,Chachapoyas,CHETO,591,56.97,0.35,52.21090552,27.3,11.8
10105,Amazonas,Chachapoyas,CHILIQUIN,687,143.43,0.28,36.86893174,59.1,25.2
10106,Amazonas,Chachapoyas,CHUQUIBAMBA,2064,278.63,0.27,30.43149922,36,7.9
10107,Amazonas,Chachapoyas,GRANADA,379,181.41,0.36,25.70937003,36,2.6
10108,Amazonas,Chachapoyas,HUANCAS,1329,48.79,0.41,65.35856082,16.5,13.8
10109,Amazonas,Chachapoyas,LA JALCA,5513,380.39,0.30,42.66294434,38.7,5.7
10110,Amazonas,Chachapoyas,LEIMEBAMBA,4206,373.14,0.40,39.98940691,29.6,2
10111,Amazonas,Chachapoyas,LEVANTO,862,77.54,0.32,39.63171991,31.2,5.6
10112,Amazonas,Chachapoyas,MAGDALENA,782,135.47,0.47,53.25512363,21.5,9.8
10113,Amazonas,Chachapoyas,MARISCAL CASTILLA,986,83.58,0.45,50.26326275,25.6,3.7
